bar_index,timestamp_utc,ob_type,wick_anchor_price,body_open,body_close,wick_high,wick_low,zone_low,zone_high,broke_structure_type,break_bar,break_ts,n_bars_ob_to_break,has_fvg_after,consec_same_color_count,consumed,consumed_at_bar,notes_algo
10,2026-05-14T16:00:00+00:00,OB-,81026.0,81264.0,81368.0,81992.0,81026.0,81026.0,81992.0,NEW_LOW,20,2026-05-16T08:00:00+00:00,10,True,10,False,,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=10, fvg=yes, consec=10, broke_NEW_LOW"
22,2026-05-16T16:00:00+00:00,OB-,78093.0,78198.0,78226.0,78336.0,78093.0,78093.0,78336.0,LL,24,2026-05-17T00:00:00+00:00,2,False,2,True,25,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=2, fvg=no, consec=2, broke_LL"
27,2026-05-17T12:00:00+00:00,OB+,78519.0,78370.0,78015.0,78519.0,77796.0,77796.0,78519.0,NEW_HIGH,28,2026-05-17T16:00:00+00:00,1,False,1,True,29,"dyn:walk_back_to_break, anchor=wick_high, distance_to_break=1, fvg=no, consec=1, broke_NEW_HIGH"
28,2026-05-17T16:00:00+00:00,OB-,77812.0,78015.0,78381.0,78444.0,77812.0,77812.0,78444.0,NEW_LOW,30,2026-05-18T00:00:00+00:00,2,False,2,True,45,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=2, fvg=no, consec=2, broke_NEW_LOW"
32,2026-05-18T08:00:00+00:00,OB-,76631.0,77039.0,77253.0,77374.0,76631.0,76631.0,77374.0,LL,33,2026-05-18T12:00:00+00:00,1,False,1,True,34,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=1, fvg=no, consec=1, broke_LL"
47,2026-05-20T20:00:00+00:00,OB+,77768.0,77646.0,77533.0,77768.0,77205.0,77205.0,77768.0,NEW_HIGH,48,2026-05-21T00:00:00+00:00,1,False,1,True,49,"dyn:walk_back_to_break, anchor=wick_high, distance_to_break=1, fvg=no, consec=1, broke_NEW_HIGH"
