bar_index,timestamp_utc,ob_type,wick_anchor_price,body_open,body_close,wick_high,wick_low,zone_low,zone_high,broke_structure_type,break_bar,break_ts,n_bars_ob_to_break,has_fvg_after,consec_same_color_count,consumed,consumed_at_bar,notes_algo
9,2026-05-14T12:00:00+00:00,OB-,2245.1,2252.8,2297.5,2298.5,2245.1,2245.1,2298.5,NEW_LOW,15,2026-05-15T12:00:00+00:00,6,True,6,False,,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=6, fvg=yes, consec=6, broke_NEW_LOW"
18,2026-05-16T00:00:00+00:00,OB-,2222.1,2223.3,2226.9,2230.5,2222.1,2222.1,2230.5,LL,20,2026-05-16T08:00:00+00:00,2,False,2,False,,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=2, fvg=no, consec=2, broke_LL"
28,2026-05-17T16:00:00+00:00,OB-,2175.3,2185.5,2191.4,2192.7,2175.3,2175.3,2192.7,LL,30,2026-05-18T00:00:00+00:00,2,False,2,False,,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=2, fvg=no, consec=2, broke_LL"
32,2026-05-18T08:00:00+00:00,OB-,2109.3,2119.5,2132.5,2138.7,2109.3,2109.3,2138.7,LL,33,2026-05-18T12:00:00+00:00,1,False,1,True,34,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=1, fvg=no, consec=1, broke_LL"
33,2026-05-18T12:00:00+00:00,OB+,2156.1,2132.5,2106.4,2156.1,2092.3,2092.3,2156.1,NEW_HIGH,37,2026-05-19T04:00:00+00:00,4,False,4,True,38,"dyn:walk_back_to_break, anchor=wick_high, distance_to_break=4, fvg=no, consec=4, broke_NEW_HIGH"
47,2026-05-20T20:00:00+00:00,OB+,2140.1,2138.5,2129.1,2140.1,2117.4,2117.4,2140.1,HH,48,2026-05-21T00:00:00+00:00,1,False,1,True,49,"dyn:walk_back_to_break, anchor=wick_high, distance_to_break=1, fvg=no, consec=1, broke_HH"
48,2026-05-21T00:00:00+00:00,OB-,2127.9,2129.0,2145.4,2156.7,2127.9,2127.9,2156.7,NEW_LOW,50,2026-05-21T08:00:00+00:00,2,False,2,True,51,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=2, fvg=no, consec=2, broke_NEW_LOW"
