bar_index,timestamp_utc,ob_type,wick_anchor_price,body_open,body_close,wick_high,wick_low,zone_low,zone_high,broke_structure_type,break_bar,break_ts,n_bars_ob_to_break,has_fvg_after,consec_same_color_count,consumed,consumed_at_bar,notes_algo
16,2026-05-13T20:00:00+00:00,OB-,4693.700195,4696.0,4703.5,4709.0,4693.700195,4693.700195,4709.0,NEW_LOW,17,2026-05-14T00:00:00+00:00,1,False,1,True,18,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=1, fvg=no, consec=1, broke_NEW_LOW"
19,2026-05-14T08:00:00+00:00,OB-,4694.600098,4699.5,4700.399902,4713.600098,4694.600098,4694.600098,4713.600098,LL,26,2026-05-15T12:00:00+00:00,7,True,7,False,,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=7, fvg=yes, consec=7, broke_LL"
28,2026-05-15T20:00:00+00:00,OB-,4537.0,4550.200195,4561.899902,4561.899902,4537.0,4537.0,4561.899902,LL,29,2026-05-17T20:00:00+00:00,1,False,1,True,30,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=1, fvg=no, consec=1, broke_LL"
33,2026-05-18T12:00:00+00:00,OB+,4588.600098,4554.399902,4547.700195,4588.600098,4536.200195,4536.200195,4588.600098,NEW_HIGH,35,2026-05-18T20:00:00+00:00,2,False,2,True,36,"dyn:walk_back_to_break, anchor=wick_high, distance_to_break=2, fvg=no, consec=2, broke_NEW_HIGH"
41,2026-05-19T20:00:00+00:00,OB-,4480.0,4486.899902,4491.799805,4499.5,4480.0,4480.0,4499.5,NEW_LOW,42,2026-05-20T00:00:00+00:00,1,False,1,True,43,"dyn:walk_back_to_break, anchor=wick_low, distance_to_break=1, fvg=no, consec=1, broke_NEW_LOW"
