datetime,open,high,low,close,vol
2026-05-13 00:00:00+00:00,2273.7,2303.5,2272.4,2301.2,63025.6762
2026-05-13 04:00:00+00:00,2301.3,2308.1,2295.3,2300.6,14011.8765
2026-05-13 08:00:00+00:00,2300.6,2323.2,2298.1,2301.3,38286.4322
2026-05-13 12:00:00+00:00,2301.3,2306.8,2233.6,2235.8,119278.5649
2026-05-13 16:00:00+00:00,2235.8,2267.9,2234.7,2256.1,70406.5442
2026-05-13 20:00:00+00:00,2256.1,2263.8,2250.1,2258.0,18660.0817
2026-05-14 00:00:00+00:00,2258.0,2269.0,2237.7,2241.3,26218.938
2026-05-14 04:00:00+00:00,2241.3,2274.5,2238.5,2264.3,23630.642
2026-05-14 08:00:00+00:00,2264.3,2270.0,2251.3,2252.9,51884.8707
2026-05-14 12:00:00+00:00,2252.8,2298.5,2245.1,2297.5,84214.4718
2026-05-14 16:00:00+00:00,2297.5,2318.7,2292.5,2297.2,79431.5247
2026-05-14 20:00:00+00:00,2297.3,2300.3,2279.8,2282.1,33309.9053
2026-05-15 00:00:00+00:00,2282.2,2299.3,2259.3,2272.4,80330.2447
2026-05-15 04:00:00+00:00,2272.4,2272.7,2236.2,2264.3,50667.8329
2026-05-15 08:00:00+00:00,2264.3,2264.6,2249.2,2256.6,26010.8546
2026-05-15 12:00:00+00:00,2256.6,2259.3,2204.0,2221.9,194513.9235
2026-05-15 16:00:00+00:00,2222.0,2232.0,2217.1,2222.3,64459.8792
2026-05-15 20:00:00+00:00,2222.2,2225.3,2213.3,2223.3,31561.5491
2026-05-16 00:00:00+00:00,2223.3,2230.5,2222.1,2226.9,25831.5503
2026-05-16 04:00:00+00:00,2226.9,2227.7,2180.9,2193.7,80032.8814
2026-05-16 08:00:00+00:00,2193.6,2195.7,2161.2,2175.6,63133.2529
2026-05-16 12:00:00+00:00,2175.6,2187.5,2171.8,2179.1,71356.2759
2026-05-16 16:00:00+00:00,2179.1,2183.5,2169.1,2178.7,15645.7378
2026-05-16 20:00:00+00:00,2178.7,2182.1,2178.1,2179.4,16163.2424
2026-05-17 00:00:00+00:00,2179.3,2184.6,2166.6,2180.5,44936.5604
2026-05-17 04:00:00+00:00,2180.4,2193.8,2180.0,2185.4,25928.3741
2026-05-17 08:00:00+00:00,2185.1,2196.8,2182.0,2190.8,25415.0577
2026-05-17 12:00:00+00:00,2190.7,2197.2,2177.2,2185.6,31358.0027
2026-05-17 16:00:00+00:00,2185.5,2192.7,2175.3,2191.4,33248.4535
2026-05-17 20:00:00+00:00,2191.4,2193.8,2089.4,2130.1,160393.3775
2026-05-18 00:00:00+00:00,2130.2,2130.8,2103.9,2117.5,64297.6519
2026-05-18 04:00:00+00:00,2117.5,2124.8,2109.1,2119.5,37087.7834
2026-05-18 08:00:00+00:00,2119.5,2138.7,2109.3,2132.5,51446.8281
2026-05-18 12:00:00+00:00,2132.5,2156.1,2092.3,2106.4,192692.0807
2026-05-18 16:00:00+00:00,2106.5,2127.8,2077.0,2124.1,150879.767
2026-05-18 20:00:00+00:00,2124.0,2143.1,2114.0,2129.7,112120.9514
2026-05-19 00:00:00+00:00,2129.7,2146.3,2118.4,2130.3,50358.3479
2026-05-19 04:00:00+00:00,2130.2,2144.0,2122.5,2140.0,24229.1254
2026-05-19 08:00:00+00:00,2140.1,2140.4,2105.6,2109.8,47450.8983
2026-05-19 12:00:00+00:00,2109.8,2126.6,2093.5,2109.2,89359.1992
2026-05-19 16:00:00+00:00,2109.3,2124.6,2106.4,2112.3,35577.1614
2026-05-19 20:00:00+00:00,2112.4,2119.8,2101.5,2110.8,16125.2312
2026-05-20 00:00:00+00:00,2110.9,2117.6,2102.5,2110.5,21386.1176
2026-05-20 04:00:00+00:00,2110.6,2135.9,2106.3,2128.8,51171.3574
2026-05-20 08:00:00+00:00,2128.7,2137.5,2123.7,2127.6,17094.0325
2026-05-20 12:00:00+00:00,2127.6,2148.1,2113.6,2136.0,69944.7696
2026-05-20 16:00:00+00:00,2136.0,2148.2,2123.3,2138.3,30807.9825
2026-05-20 20:00:00+00:00,2138.5,2140.1,2117.4,2129.1,46791.9073
2026-05-21 00:00:00+00:00,2129.0,2156.7,2127.9,2145.4,82966.2247
2026-05-21 04:00:00+00:00,2145.5,2148.5,2123.9,2134.7,31530.8151
2026-05-21 08:00:00+00:00,2134.5,2147.6,2108.7,2114.0,61190.7553
2026-05-21 12:00:00+00:00,2114.1,2137.9,2104.2,2131.9,77416.0202
2026-05-21 16:00:00+00:00,2131.9,2153.0,2120.3,2142.7,113168.6204
2026-05-21 20:00:00+00:00,2142.7,2143.0,2126.5,2133.1,22917.09
2026-05-22 00:00:00+00:00,2133.3,2140.7,2124.7,2137.1,13665.817
2026-05-22 04:00:00+00:00,2137.1,2140.9,2121.6,2128.1,17482.005
2026-05-22 08:00:00+00:00,2128.0,2133.0,2118.2,2130.2,44131.4682
2026-05-22 12:00:00+00:00,2130.3,2137.5,2111.5,2119.1,47648.8455
2026-05-22 16:00:00+00:00,2119.0,2129.1,2056.2,2064.7,198500.1656
2026-05-22 20:00:00+00:00,2064.6,2078.7,2056.2,2064.8,95934.7978
